Designator,Mid X,Mid Y,Rotation,Layer
C1,224.536,-86.614,0.0,top
C100,177.165,-91.44,0.0,bottom
C101,172.9525,-108.458,180.0,bottom
C150,125.7205,-104.39875,90.0,bottom
C151,129.9115,-98.95925,90.0,bottom
C152,127.3715,-100.58875,270.0,bottom
C153,124.8315,-100.58875,270.0,bottom
C154,113.7825,-101.22375,270.0,bottom
C155,114.2905,-108.86525,270.0,bottom
C156,120.523,-113.157,90.0,bottom
C157,124.9585,-113.16175,180.0,bottom
C170,71.628,-89.154,0.0,bottom
C171,85.344,-95.212,180.0,bottom
C172,85.344,-97.244,180.0,bottom
C173,84.709,-106.172,180.0,bottom
C180,76.708,-114.808,90.0,bottom
C4,225.5774,-113.8682,0.0,top
C5,124.841,-87.63,0.0,top
C6,101.727,-121.793,0.0,top
C7,68.6114,-109.2454,180.0,top
CN100,191.77,-143.51,0.0,bottom
CN150,115.2906,-120.523,90.0,top
CN151,106.6954,-114.7318,90.0,top
CN160,113.538,-81.915,180.0,top
CN650,176.657,-115.189,270.0,top
D160,66.04,-87.503,0.0,top
D161,66.04,-89.916,0.0,top
J161,68.58,-98.552,270.0,top
J162,68.58,-94.869,270.0,top
J163,68.58,-102.235,270.0,top
J164,222.885,-95.2246,0.0,top
J165,226.5426,-95.2246,0.0,top
J166,230.1494,-97.7646,0.0,top
R150,79.121,-89.027,0.0,bottom
R151,71.374,-94.107,270.0,bottom
R152,113.3762,-114.3254,0.0,bottom
R153,120.8278,-123.0122,0.0,bottom
R154,124.841,-123.0122,180.0,bottom
R155,71.374,-97.917,90.0,bottom
R156,109.601,-118.872,90.0,top
R157,85.217,-118.491,270.0,bottom
R160,66.04,-87.63,180.0,bottom
R161,71.374,-101.727,270.0,bottom
R163,66.04,-92.075,180.0,top
R164,229.489,-105.3338,0.0,bottom
R166,229.489,-103.4034,180.0,bottom
R167,76.327,-86.614,0.0,bottom
U101,137.287,-111.506,90.0,top
U150,122.0375,-105.41475,180.0,top
U170,86.487,-98.171,0.0,top
U180,86.098,-115.63,0.0,top
